end,start,tweet_count
2021-11-02T00:00:00.000Z,2021-11-01T00:00:00.000Z,138498
2021-11-03T00:00:00.000Z,2021-11-02T00:00:00.000Z,88621
2021-11-04T00:00:00.000Z,2021-11-03T00:00:00.000Z,53654
2021-11-05T00:00:00.000Z,2021-11-04T00:00:00.000Z,54987
2021-11-06T00:00:00.000Z,2021-11-05T00:00:00.000Z,48157
